identity	module	section	target_rva	base_rva	target_size	base_size	status	target_hash	base_hash	relocation_hash	note
L:openssl:cryptlib.obj:trigger	openssl	.data	0xa91900	0xae4a68	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:d1_both.obj:bitmask_end_values	openssl	.data	0x9a15e0	0x9ea780	8	8	EXACT	1d26040798cf68deb6ba31817ec56657410d0e8b51f82c6329ebf95c14f2c1fb	1d26040798cf68deb6ba31817ec56657410d0e8b51f82c6329ebf95c14f2c1fb	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:d1_both.obj:bitmask_start_values	openssl	.data	0x9a15d8	0x9ea778	8	8	EXACT	c1e147459eeb2c963b7a41345c19d2e291cea1ae5d7aa386a8f3e085b95efd2e	c1e147459eeb2c963b7a41345c19d2e291cea1ae5d7aa386a8f3e085b95efd2e	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:d1_both.obj:g_probable_mtu	openssl	.data	0x9a15e8	0x9ea788	12	12	EXACT	b6b12fe408b12256f1a26c5e6c05e74b3aa90e8804b13d0c86cdc9c49e63589e	b6b12fe408b12256f1a26c5e6c05e74b3aa90e8804b13d0c86cdc9c49e63589e	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
L:openssl:dh_asn1.obj:DHparams_aux	openssl	.rdata	0x83a068	0x8531f0	24	24	RELOCS	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	7c557a6cdad74336a6fe2e891d04a1644b6966f170af1a5ab17e6b0e45bd480b/5bdc0095506c7547a273cd31214fe85d251b8f2376000e7063b236308d5bb200	pointer +0x10: target=S:.text+0x209250 base=S:.text+0x4d9e00
L:openssl:dh_asn1.obj:DHparams_seq_tt	openssl	.rdata	0x83a080	0x853208	60	60	RELOCS	06d12a6870e4abce53bc40723adf9e8c3fcaa7594b5eae05d4d7c01ee68067b3	06d12a6870e4abce53bc40723adf9e8c3fcaa7594b5eae05d4d7c01ee68067b3	10d55c1fb4cc953f06322ce945dfaa5459b953049535e7bfa28ed25f2d70dfca/07adbea1b505f9123327aa583fa3e9377933d4cd325a5f7e6f4467f822bf0174	pointer +0x10: target=S:.text+0x203130 base=S:.text+0x4d3d00
L:openssl:dh_err.obj:DH_str_functs	openssl	.data	0x9ab010	0x9ef0f0	120	120	EXACT	ccb11e7628afca8eb2ab27ccf405dc1478f716fb3cbcb9588feab1f058e5f214	ccb11e7628afca8eb2ab27ccf405dc1478f716fb3cbcb9588feab1f058e5f214	d41c60a87897a474a7a6c8c006e9961b017582169f527afb1942d8814fe7e3a3/d41c60a87897a474a7a6c8c006e9961b017582169f527afb1942d8814fe7e3a3	-
L:openssl:dh_err.obj:DH_str_reasons	openssl	.data	0x9ab088	0x9ef168	88	88	EXACT	4455e75e695c5ef591e38392b373352b4c6dc185035dfaccc121fa759ba8375f	4455e75e695c5ef591e38392b373352b4c6dc185035dfaccc121fa759ba8375f	fe4b3b7694b55388a49b4ea409a0657411b456eb1bbdb72903cfaadc1ef0f116/fe4b3b7694b55388a49b4ea409a0657411b456eb1bbdb72903cfaadc1ef0f116	-
L:openssl:dh_key.obj:dh_ossl	openssl	.data	0x9a03d8	0x9e9578	36	36	RELOCS	6db65fd59fd356f6729140571b5bcd6bb3b83492a16e1bf0a3884442fc3c8a0e	6db65fd59fd356f6729140571b5bcd6bb3b83492a16e1bf0a3884442fc3c8a0e	2eb929278425321611faf817752e50aaa8c34db672d67208313ee803aec00f47/25f9fad0a18c72bcee01083dad0d826be602ba71c48d319f644e7cf86fea74c9	pointer +0x4: target=S:.text+0x201b10 base=S:.text+0x4d26f0
L:openssl:dh_lib.obj:default_DH_method	openssl	.data	0xa934bc	0xae662c	4	4	EXACT	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945/4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	-
