# MANUALLY MANAGED - admitted retail data starts from the shipped PDB.
# Extents and owner/name evidence are derived separately; builds do not rewrite this.
rva	kind
0x7e7cb4	datum
0x7e7cb8	datum
0x7e7cbc	datum
0x7e7cc0	datum
0x7e7cc4	datum
0x7e7cc8	datum
0x7e7ccc	datum
0x7e7cd0	datum
0x7e7cd4	datum
0x7e7cd8	datum
0x7e7cdc	datum
0x7e7ce0	datum
0x7e7ce4	datum
0x7e7ce8	datum
0x7e7cec	datum
0x7e7cf0	datum
0x7e7cf4	datum
0x7e7cf8	datum
0x7e7cfc	datum
0x7e7d00	datum
0x7e7d04	datum
0x7e7d08	datum
0x7e7d0c	datum
0x7e7d10	datum
0x7e7d14	datum
0x7e7d18	datum
0x7e7d1c	datum
0x7e7d20	datum
0x7e7d24	datum
0x7e7d28	datum
0x7e7d2c	datum
0x7e7d30	datum
0x7e7d34	datum
0x7e7d38	datum
0x7e7d3c	datum
0x7e7d40	datum
0x7e7d44	datum
0x7e7d48	datum
0x7e7d4c	datum
0x7e7d50	datum
0x7e7d54	datum
0x7e7d58	datum
0x7e7d5c	datum
0x7e7d60	datum
0x7e7d64	datum
0x7e7d68	datum
0x7e7d6c	datum
0x7e7d70	datum
0x7e7d74	datum
0x7e7d78	datum
0x7e7d7c	datum
0x7e7d80	datum
0x7e7d84	datum
0x7e7d88	datum
0x7e7d8c	datum
0x7e7d90	datum
0x7e7d94	datum
0x7e7d98	datum
0x7e7d9c	datum
0x7e7da0	datum
0x7e7da4	datum
0x7e7da8	datum
0x7e7dac	datum
0x7e7db0	datum
0x7e7db4	datum
0x7e7db8	datum
0x7e7dbc	datum
0x7e7dc0	datum
0x7e7dc4	datum
0x7e7dc8	datum
0x7e7dcc	datum
0x7e7dd0	datum
0x7e7dd4	datum
0x7e7dd8	datum
0x7e7ddc	datum
0x7e7de0	datum
0x7e7de4	datum
0x7e7de8	datum
0x7e7dec	datum
0x7e7df0	datum
0x7e7df4	datum
0x7e7df8	datum
0x7e7dfc	datum
0x7e7e00	datum
0x7e7e04	datum
0x7e7e08	datum
0x7e7e0c	datum
0x7e7e10	datum
0x7e7e14	datum
0x7e7e18	datum
0x7e7e1c	datum
0x7e7e20	datum
0x7e7e24	datum
0x7e7e28	datum
0x7e7e2c	datum
0x7e7e30	datum
0x7e7e34	datum
0x7e7e38	datum
0x7e7e3c	datum
0x7e7e40	datum
0x7e7e44	datum
0x7e7e48	datum
0x7e7e4c	datum
0x7e7e50	datum
0x7e7e54	datum
0x7e7e58	datum
0x7e7e5c	datum
0x7e7e60	datum
0x7e7e64	datum
0x7e7e68	datum
0x7e7e6c	datum
0x7e7e70	datum
0x7e7e74	datum
0x7e7e78	datum
0x7e7e7c	datum
0x7e7e80	datum
0x7e7e84	datum
0x7e7e88	datum
0x7e7e8c	datum
0x7e7e90	datum
0x7e7e94	datum
