# legacy_path	class	counterparts	symbol_hits	target_evidence	notes
base/sources/engine_renderer.h	BASENAME	sources/vostok/render/facade/engine_renderer.h;sources/vostok/render/facade/sources/engine_renderer.h;sources/vostok/render/facade/sources/engine_renderer.cpp	-	target_evidence=1/1:engine_renderer	stubs_in_counterpart=0
base/sources/game_renderer.cpp	BASENAME	sources/vostok/render/facade/game_renderer.h;sources/vostok/render/facade/sources/game_renderer.h;sources/vostok/render/facade/sources/game_renderer.cpp	-	target_evidence=1/1:game_renderer	stubs_in_counterpart=11
base/sources/game_renderer.h	BASENAME	sources/vostok/render/facade/game_renderer.h;sources/vostok/render/facade/sources/game_renderer.h;sources/vostok/render/facade/sources/game_renderer.cpp	-	target_evidence=1/1:game_renderer	stubs_in_counterpart=11
base/sources/pch.cpp	BASENAME	sources/vostok/render/engine/sources/pch.h;sources/vostok/render/engine/sources/pch.cpp;sources/vostok/render/core/dx11/sources/pch.h;sources/vostok/render/core/dx11/sources/pch.cpp;sources/vostok/render/facade/sources/pch.h;sources/vostok/render/facade/sources/pch.cpp	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/pch.h	BASENAME	sources/vostok/render/engine/sources/pch.h;sources/vostok/render/engine/sources/pch.cpp;sources/vostok/render/core/dx11/sources/pch.h;sources/vostok/render/core/dx11/sources/pch.cpp;sources/vostok/render/facade/sources/pch.h;sources/vostok/render/facade/sources/pch.cpp	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/platform_api.h	UNMAPPED	-	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/platform_api_pc.cpp	DEAD	-	-	target_evidence=0/2	stubs_in_counterpart=0
base/sources/platform_api_ps3.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/platform_api_xbox360.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/platform_dx11.cpp	SYMBOL	sources/vostok/render/engine/sources/lights_db.h;sources/vostok/render/core/dx11/backend.h;sources/vostok/render/core/dx11/device.h	lights_db.h:1;backend.h:1;device.h:1	target_evidence=7/9:backend,device,lights_db,memory,platform	stubs_in_counterpart=4
base/sources/platform_dx11.h	UNMAPPED	-	-	target_evidence=1/1:platform	stubs_in_counterpart=0
base/sources/platform_dx9.cpp	SYMBOL	sources/vostok/render/engine/sources/lights_db.h;sources/vostok/render/core/dx11/backend.h	lights_db.h:1;backend.h:1	target_evidence=7/11:backend,boost,lights_db,memory,platform	stubs_in_counterpart=3
base/sources/platform_dx9.h	UNMAPPED	-	-	target_evidence=1/1:platform	stubs_in_counterpart=0
base/sources/platform_dx9_inline.h	UNMAPPED	-	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/platform_dx9_static.cpp	UNMAPPED	-	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/platform_ps3.cpp	UNMAPPED	-	-	target_evidence=1/1:platform	stubs_in_counterpart=0
base/sources/platform_ps3.h	UNMAPPED	-	-	target_evidence=1/1:platform	stubs_in_counterpart=0
base/sources/platform_xbox360.cpp	UNMAPPED	-	-	target_evidence=3/3:memory,platform,strings	stubs_in_counterpart=0
base/sources/platform_xbox360.h	UNMAPPED	-	-	target_evidence=1/1:platform	stubs_in_counterpart=0
base/sources/platform_xbox360_inline.h	UNMAPPED	-	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/render_base.vcproj	UNMAPPED	-	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/render_base_entry_point.cpp	UNMAPPED	-	-	target_evidence=1/1:render	stubs_in_counterpart=0
base/sources/render_base_library_linkage.cpp	UNMAPPED	-	-	target_evidence=0/0	stubs_in_counterpart=0
base/sources/render_base_world.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/scene_renderer_impl.cpp	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
base/sources/transform_controls.cpp	DEAD	-	-	target_evidence=0/4	stubs_in_counterpart=0
base/sources/transform_controls.h	DEAD	-	-	target_evidence=0/5	stubs_in_counterpart=0
base/sources/transform_controls_renderer.cpp	DEAD	-	-	target_evidence=0/4	stubs_in_counterpart=0
base/sources/transform_controls_renderer.h	DEAD	-	-	target_evidence=0/5	stubs_in_counterpart=0
base/sources/ui_renderer.cpp	BASENAME	sources/vostok/render/facade/ui_renderer.h;sources/vostok/render/facade/sources/ui_renderer.cpp;sources/vostok/render/facade/sources/ui_renderer.h	-	target_evidence=0/2	stubs_in_counterpart=3
base/sources/ui_renderer.h	BASENAME	sources/vostok/render/facade/ui_renderer.h;sources/vostok/render/facade/sources/ui_renderer.cpp;sources/vostok/render/facade/sources/ui_renderer.h	-	target_evidence=0/2	stubs_in_counterpart=3
facade/ambient_volume_properties.h	BASENAME	sources/vostok/render/facade/ambient_volume_properties.h	ambient_volume_properties.h:1	target_evidence=1/1:ambient_volume_properties	stubs_in_counterpart=0
facade/base_command.h	BASENAME	sources/vostok/render/facade/base_command.h	base_command.h:1	target_evidence=0/1	stubs_in_counterpart=0
facade/common_types.h	BASENAME	sources/vostok/render/facade/common_types.h	common_types.h:3	target_evidence=2/3:buffer_fragment,terrain_data	stubs_in_counterpart=0
facade/cull_mode.h	BASENAME	sources/vostok/render/facade/cull_mode.h	cull_mode.h:1	target_evidence=1/1:enum_cull_mode	stubs_in_counterpart=0
facade/debug_renderer.h	BASENAME	sources/vostok/render/facade/debug_renderer.h;sources/vostok/render/facade/sources/debug_renderer.h;sources/vostok/render/facade/sources/debug_renderer.cpp	ui_renderer.h:1;game_renderer.h:1;engine_renderer.h:1	target_evidence=1/1:renderer	stubs_in_counterpart=27
facade/decal_properties.h	BASENAME	sources/vostok/render/facade/decal_properties.h	decal_properties.h:1	target_evidence=1/1:decal_properties	stubs_in_counterpart=0
facade/decal_properties_inline.h	BASENAME	sources/vostok/render/facade/decal_properties_inline.h	-	target_evidence=0/0	stubs_in_counterpart=1
facade/editor_renderer.h	SYMBOL	sources/vostok/render/facade/sources/ui_renderer.h;sources/vostok/render/facade/sources/game_renderer.h;sources/vostok/render/facade/sources/engine_renderer.h	ui_renderer.h:1;game_renderer.h:1;engine_renderer.h:1	target_evidence=1/1:renderer	stubs_in_counterpart=0
facade/engine_renderer.h	BASENAME	sources/vostok/render/facade/engine_renderer.h;sources/vostok/render/facade/sources/engine_renderer.h;sources/vostok/render/facade/sources/engine_renderer.cpp	ui_renderer.h:1;game_renderer.h:1;engine_renderer.h:1	target_evidence=1/1:renderer	stubs_in_counterpart=0
facade/game_renderer.h	BASENAME	sources/vostok/render/facade/game_renderer.h;sources/vostok/render/facade/sources/game_renderer.h;sources/vostok/render/facade/sources/game_renderer.cpp	ui_renderer.h:1;game_renderer.h:1;engine_renderer.h:1	target_evidence=1/1:renderer	stubs_in_counterpart=11
facade/library_linkage.h	BASENAME	sources/vostok/render/library_linkage.h;sources/vostok/render/engine/library_linkage.h;sources/vostok/render/core/library_linkage.h;sources/vostok/render/core/dx11/library_linkage.h;sources/vostok/render/facade/library_linkage.h	-	target_evidence=0/0	stubs_in_counterpart=0
facade/light_props.h	BASENAME	sources/vostok/render/facade/light_props.h	light_props.h:2	target_evidence=1/2:light_props	stubs_in_counterpart=0
facade/material_effects_instance_cook_data.h	BASENAME	sources/vostok/render/facade/material_effects_instance_cook_data.h	material_effects_instance_cook_data.h:1	target_evidence=1/1:material_effects_instance_cook_data	stubs_in_counterpart=1
facade/model.h	BASENAME	sources/vostok/render/facade/model.h	model.h:7;speedtree_instance.h:1;speedtree_tree_base.h:1	target_evidence=8/10:animated_model_instance,model_locator_item,render_model_instance,skeleton_model_instance,speedtree_instance	stubs_in_counterpart=4
facade/one_way_render_channel.h	BASENAME	sources/vostok/render/facade/one_way_render_channel.h;sources/vostok/render/facade/sources/one_way_render_channel.cpp;sources/vostok/render/facade/sources/one_way_render_channel.h	one_way_render_channel.h:2	target_evidence=1/2:one_way_render_channel	stubs_in_counterpart=5
facade/one_way_render_channel_inline.h	UNMAPPED	-	-	target_evidence=0/0	stubs_in_counterpart=0
facade/particles.h	BASENAME	sources/vostok/render/facade/particles.h	particles.h:1	target_evidence=1/2:enum_particle_render_mode	stubs_in_counterpart=0
facade/platform.h	SYMBOL	sources/vostok/render/facade/base_command.h	base_command.h:1	target_evidence=0/1	stubs_in_counterpart=0
facade/render_output_window_base.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
facade/render_stage_types.h	BASENAME	sources/vostok/render/facade/render_stage_types.h;sources/vostok/render/facade/sources/render_stage_types.h;sources/vostok/render/facade/sources/render_stage_types.cpp	render_stage_types.h:1	target_evidence=1/1:enum_render_stage_type	stubs_in_counterpart=1
facade/render_statistics.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
facade/scene_renderer.h	BASENAME	sources/vostok/render/facade/scene_renderer.h;sources/vostok/render/facade/sources/scene_renderer.cpp;sources/vostok/render/facade/sources/scene_renderer.h	scene_renderer.h:1	target_evidence=1/1:scene_renderer	stubs_in_counterpart=46
facade/scene_view_mode.h	BASENAME	sources/vostok/render/facade/scene_view_mode.h	scene_view_mode.h:1	target_evidence=1/1:scene_view_mode	stubs_in_counterpart=0
facade/terrain_base.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
facade/ui_renderer.h	BASENAME	sources/vostok/render/facade/ui_renderer.h;sources/vostok/render/facade/sources/ui_renderer.cpp;sources/vostok/render/facade/sources/ui_renderer.h	ui_renderer.h:2;game_renderer.h:1;engine_renderer.h:1	target_evidence=2/2:renderer,vertex	stubs_in_counterpart=3
facade/vertex_input_type.h	BASENAME	sources/vostok/render/facade/vertex_input_type.h	vertex_input_type.h:1	target_evidence=1/1:enum_vertex_input_type	stubs_in_counterpart=0
facade/volume_fog_parameters.h	BASENAME	sources/vostok/render/facade/volume_fog_parameters.h	volume_fog_parameters.h:1	target_evidence=1/1:volume_fog_parameters	stubs_in_counterpart=0
facade/sources/debug_draw_lines_command.cpp	BASENAME	sources/vostok/render/facade/sources/debug_draw_lines_command.h;sources/vostok/render/facade/sources/debug_draw_lines_command.cpp	debug_draw_lines_command.h:1	target_evidence=2/2:draw_lines_command,render	stubs_in_counterpart=7
facade/sources/debug_draw_lines_command.h	BASENAME	sources/vostok/render/facade/sources/debug_draw_lines_command.h;sources/vostok/render/facade/sources/debug_draw_lines_command.cpp	debug_draw_lines_command.h:2	target_evidence=1/2:draw_lines_command	stubs_in_counterpart=7
facade/sources/debug_draw_lines_command_inline.h	SYMBOL	sources/vostok/render/facade/sources/debug_draw_lines_command.h	debug_draw_lines_command.h:1	target_evidence=0/1	stubs_in_counterpart=3
facade/sources/debug_draw_triangles_command.cpp	BASENAME	sources/vostok/render/facade/sources/debug_draw_triangles_command.cpp;sources/vostok/render/facade/sources/debug_draw_triangles_command.h	debug_draw_triangles_command.h:1	target_evidence=2/2:draw_triangles_command,render	stubs_in_counterpart=5
facade/sources/debug_draw_triangles_command.h	BASENAME	sources/vostok/render/facade/sources/debug_draw_triangles_command.cpp;sources/vostok/render/facade/sources/debug_draw_triangles_command.h	debug_draw_triangles_command.h:1;debug_draw_lines_command.h:1	target_evidence=1/2:draw_triangles_command	stubs_in_counterpart=5
facade/sources/debug_draw_triangles_command_inline.h	SYMBOL	sources/vostok/render/facade/sources/debug_draw_lines_command.h	debug_draw_lines_command.h:1	target_evidence=0/1	stubs_in_counterpart=3
facade/sources/debug_renderer.cpp	BASENAME	sources/vostok/render/facade/debug_renderer.h;sources/vostok/render/facade/sources/debug_renderer.h;sources/vostok/render/facade/sources/debug_renderer.cpp	ui_renderer.h:1;game_renderer.h:1;engine_renderer.h:1	target_evidence=2/2:math,renderer	stubs_in_counterpart=27
facade/sources/editor_allocator.h	BASENAME	sources/vostok/render/facade/sources/editor_allocator.h	-	target_evidence=0/0	stubs_in_counterpart=0
facade/sources/editor_draw_3d_screen_lines_command.cpp	UNMAPPED	-	-	target_evidence=1/2:render	stubs_in_counterpart=0
facade/sources/editor_draw_3d_screen_lines_command.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
facade/sources/editor_draw_screen_lines_command.cpp	UNMAPPED	-	-	target_evidence=1/2:render	stubs_in_counterpart=0
facade/sources/editor_draw_screen_lines_command.h	DEAD	-	-	target_evidence=0/1	stubs_in_counterpart=0
facade/sources/editor_renderer.cpp	SYMBOL	sources/vostok/render/facade/sources/ui_renderer.h;sources/vostok/render/facade/sources/game_renderer.h;sources/vostok/render/facade/sources/engine_renderer.h	ui_renderer.h:1;game_renderer.h:1;engine_renderer.h:1	target_evidence=2/2:boost,renderer	stubs_in_counterpart=0
facade/sources/engine_renderer.cpp	BASENAME	sources/vostok/render/facade/engine_renderer.h;sources/vostok/render/facade/sources/engine_renderer.h;sources/vostok/render/facade/sources/engine_renderer.cpp	ui_renderer.h:1;game_renderer.h:1;engine_renderer.h:1	target_evidence=1/1:renderer	stubs_in_counterpart=0
facade/sources/functor_command.cpp	BASENAME	sources/vostok/render/facade/sources/functor_command.cpp;sources/vostok/render/facade/sources/functor_command.h	functor_command.h:1	target_evidence=1/1:functor_command	stubs_in_counterpart=4
facade/sources/functor_command.h	BASENAME	sources/vostok/render/facade/sources/functor_command.cpp;sources/vostok/render/facade/sources/functor_command.h	functor_command.h:1	target_evidence=1/1:functor_command	stubs_in_counterpart=4
facade/sources/functor_with_big_buffer_to_copy_command.h	BASENAME	sources/vostok/render/facade/sources/functor_with_big_buffer_to_copy_command.h	functor_with_big_buffer_to_copy_command.h:1	target_evidence=1/1:functor_with_big_buffer_to_copy_command	stubs_in_counterpart=3
